username_length,num_followers,num_following,num_posts,account_age_days,bio_length,profile_pic,fake
11,2842,5741,256,314,72,1,0
14,2229,277,991,3247,2,1,0
13,3009,65,723,3252,1,0,1
11,7984,4262,565,1956,131,0,1
13,2077,5704,686,385,15,0,0
12,7845,8594,99,295,181,1,0
6,3867,7989,38,1239,32,0,1
5,4873,6255,925,3034,8,0,1
11,8635,7441,262,762,56,1,0
11,297,4692,149,2817,39,0,0
12,5856,4419,632,1099,51,1,0
9,9036,7960,689,2392,15,0,1
7,1015,6078,812,1738,135,1,0
12,1384,1437,329,2190,86,1,0
10,9589,8620,119,2766,59,1,0
7,8745,7032,583,1223,163,1,0
5,2350,5731,218,1943,2,0,0
7,1269,3378,905,3243,14,1,0
9,1260,8584,909,2454,101,1,0
7,7701,6347,813,228,22,1,0
5,8376,6401,122,411,130,1,0
9,4563,6629,243,3000,157,1,0
14,6897,4541,885,2946,172,1,0
11,5672,7876,586,691,16,0,1
11,5593,8533,517,878,113,1,0
13,6155,8324,20,787,185,0,0
14,5543,264,189,2110,57,1,0
14,7240,9877,224,1351,109,1,0
7,4683,1434,914,1740,184,0,0
11,1881,5327,614,1987,134,1,0
5,8713,5097,855,879,166,1,0
8,3809,1660,465,3205,77,0,0
8,5807,5692,98,1608,185,0,0
9,4883,2354,829,1614,183,0,0
11,7206,8457,362,3261,142,0,0
11,4155,6461,996,2404,43,1,0
8,4673,9328,82,71,11,0,0
11,1409,7044,692,2311,7,0,1
7,9886,5497,663,306,79,0,1
10,5197,4549,55,2606,40,1,0
6,7452,6334,701,3296,161,0,1
14,8718,6010,929,3400,45,1,0
13,2172,4926,21,762,28,1,0
9,279,9582,579,588,15,1,0
10,3977,9304,184,2122,132,1,0
8,2669,6065,521,3583,4,0,1
14,7825,2179,577,2190,29,0,1
11,9943,4967,263,1609,116,1,0
13,3981,634,224,102,177,0,0
11,4769,3631,634,1630,4,0,1
5,5247,9591,37,1605,140,0,0
5,4427,4677,122,3137,48,0,1
13,6135,2218,829,193,88,1,0
13,5573,1389,155,3001,49,0,1
8,4131,4276,905,1086,13,0,0
13,9900,1249,300,3604,107,1,0
7,7189,7640,832,3313,45,0,1
11,4535,5712,993,2458,81,0,1
10,2776,1245,66,300,125,0,1
12,9311,8245,904,3267,83,1,0
13,7697,442,644,454,33,0,1
9,8386,6976,873,2622,70,0,0
5,662,4675,393,619,174,1,0
7,8671,7953,651,637,59,0,0
14,8044,4377,593,2349,73,1,0
12,4218,7058,569,779,80,1,0
10,9615,822,660,1480,138,1,0
12,5060,2939,404,3037,97,0,1
13,5874,7096,448,2250,90,0,0
8,5581,5765,130,2722,94,0,0
5,2014,1031,68,2350,177,0,0
5,3789,562,344,2045,131,0,1
14,9103,340,761,1648,168,1,0
8,7148,4567,319,337,186,1,0
11,7766,7862,176,2080,59,1,0
6,2364,2296,583,1995,112,1,0
7,3629,234,528,3170,80,0,1
5,5919,5202,840,2008,189,1,0
9,5675,9308,159,1783,83,1,0
5,8872,9609,581,2821,24,0,1
12,6638,1291,624,3263,32,1,0
5,4651,4727,743,3613,18,0,0
5,609,8720,532,1072,56,0,1
6,7940,2939,134,2032,14,0,0
6,3866,5435,774,1274,40,1,0
10,371,6981,110,1250,196,1,0
11,6998,5392,998,1296,59,1,0
9,615,9521,757,2713,108,1,0
5,6911,7972,282,3557,95,1,0
5,6010,1233,519,328,21,1,0
7,2253,9945,968,797,170,0,1
6,4942,2800,795,1204,159,0,0
9,864,2775,718,2862,140,1,0
14,1268,6044,193,665,165,1,0
10,7454,3487,966,2794,25,0,1
11,8976,7383,46,3095,132,0,0
8,4571,3850,977,2978,124,0,1
11,5229,4997,341,963,176,1,0
12,2237,890,241,1630,96,1,0
5,4054,5920,521,1394,132,1,0
10,935,1188,369,1269,70,0,1
12,6394,5644,800,1184,175,1,0
9,7891,740,902,373,17,1,0
8,325,1369,130,285,94,1,0
6,9726,9581,269,2569,133,1,0
10,7774,2000,939,3522,65,1,0
10,3861,1471,813,2745,126,1,0
5,1985,1536,60,807,41,0,0
13,4932,318,163,647,116,1,0
10,4603,5153,524,1605,179,0,0
7,2778,1894,271,2184,10,0,1
8,9462,7991,719,96,25,0,0
8,8832,9467,757,3191,148,1,0
7,7754,8592,132,3446,193,1,0
14,4078,5935,243,274,167,1,0
7,1367,723,984,2926,55,1,0
7,4042,2329,805,2898,117,0,0
8,2575,9327,997,1201,178,1,0
11,6754,2770,433,1773,147,0,0
8,1581,7545,37,784,56,1,0
13,1986,4846,870,1301,4,1,0
5,2240,267,567,3210,13,0,1
12,3966,569,318,132,23,0,0
11,7604,1973,509,3116,67,0,0
6,8320,8737,375,3195,179,1,0
12,5968,2822,559,3208,47,0,0
5,9043,4460,616,1391,174,0,0
13,7493,270,473,2421,59,0,0
13,4103,7641,58,1150,2,1,0
6,2076,8930,588,3511,118,0,0
11,5231,6680,939,1811,136,0,1
14,2994,1257,498,2031,99,1,0
7,3744,8250,217,3648,82,0,1
11,5594,5370,894,808,23,0,0
14,7531,4858,566,744,131,0,1
13,7371,8581,566,51,136,1,0
8,1644,8910,128,3209,0,0,0
5,3144,6999,903,1182,115,0,0
6,242,120,382,56,162,0,0
5,4085,6908,387,744,139,0,0
9,7954,2303,84,2476,145,0,0
9,7269,4861,509,443,9,0,1
11,7130,2911,725,1935,145,0,0
13,6828,8991,626,2374,151,1,0
13,8362,7236,436,2688,128,1,0
7,8844,5565,825,1662,78,1,0
7,6331,6531,292,2877,199,0,1
7,3512,1109,48,80,98,1,0
8,1499,6929,66,2522,143,0,0
12,2158,1250,786,377,142,0,0
10,5162,8177,128,2967,189,0,1
12,4039,1649,28,2381,132,1,0
5,2035,7351,342,3247,44,1,0
12,7977,5911,544,441,117,0,1
8,857,9537,118,126,51,0,1
5,3823,2956,691,1718,198,1,0
12,6770,5828,936,219,111,1,0
8,9241,4994,662,948,134,1,0
10,298,6436,132,278,154,1,0
12,7244,8676,326,3557,111,1,0
8,923,7614,184,595,12,1,0
7,4232,8994,505,935,16,1,0
13,4306,1715,645,2019,43,0,1
7,2799,8150,688,141,140,0,0
13,6578,3483,533,2894,72,1,0
6,4875,7675,240,3056,4,1,0
6,5326,1757,588,1631,32,0,0
6,6582,1809,715,877,131,1,0
10,1802,5539,515,1730,153,0,1
7,2657,6048,839,110,67,0,1
13,3346,9862,959,1076,15,1,0
8,9663,1151,164,2661,149,0,0
5,2949,5492,926,2761,35,1,0
8,941,6711,932,1994,101,1,0
5,1907,6302,639,3391,185,0,1
9,4837,4747,556,1223,182,0,0
8,8105,8402,217,796,162,0,1
12,1243,4681,746,2030,24,1,0
12,5696,2507,647,729,71,1,0
11,1466,2963,679,3118,80,1,0
7,3957,3428,992,2553,60,1,0
5,1966,7494,748,3612,17,1,0
5,375,3955,604,1538,57,1,0
7,262,3705,4,1041,75,1,0
10,4362,4038,667,315,120,0,0
11,6502,9244,756,3508,56,1,0
10,7833,713,871,3460,96,0,0
10,1893,7260,80,77,62,0,1
10,8106,7011,246,3026,11,1,0
7,1652,8879,854,2947,10,0,1
10,5540,8521,492,3443,140,0,0
12,3892,1746,648,3237,162,0,1
6,599,1207,385,1641,26,1,0
9,4815,784,574,3096,103,0,0
5,1912,2696,991,712,66,1,0
5,9484,7073,306,3107,88,1,0
9,8792,5036,627,1538,44,1,0
7,8572,7127,624,1868,80,0,0
8,4213,3718,542,854,66,0,0
7,3637,5775,6,3533,149,1,0
5,9290,7910,925,1162,101,1,0
5,5599,2693,953,1598,90,1,0
9,6448,625,514,2757,41,0,1
10,8557,3708,818,1913,19,0,1
7,7382,6859,754,3643,47,0,0
13,8982,8953,567,265,17,0,0
9,3569,7692,72,333,127,0,1
12,7707,6398,9,2236,76,0,1
5,746,7252,572,1087,197,0,0
9,8504,1555,561,820,5,1,0
7,4633,8867,121,1303,38,0,0
5,920,4187,686,1566,10,1,0
8,9269,7767,985,1195,111,0,1
9,7008,36,512,1527,152,1,0
11,2381,1787,989,3605,107,0,0
5,3618,6283,440,299,93,0,0
7,8989,8060,37,2249,54,0,1
6,4443,8065,701,1159,83,1,0
13,272,3880,590,272,57,0,1
14,1773,5932,344,535,36,0,0
10,2547,8328,965,3514,15,1,0
14,3164,6333,337,3159,69,0,0
7,4780,5759,960,2079,92,0,0
12,946,6485,701,1145,164,1,0
12,506,5067,183,69,180,0,0
6,6719,661,66,2931,143,1,0
10,8435,7973,16,3009,17,1,0
11,8697,6386,382,827,146,1,0
6,6360,7887,367,3568,171,0,0
14,7657,414,903,2972,129,0,1
6,3590,6850,315,1170,185,1,0
14,1192,8534,496,984,137,1,0
5,1464,2729,807,3405,45,0,1
12,390,3897,720,481,18,0,0
5,5615,2169,344,3335,37,0,0
13,6106,1878,957,2341,36,1,0
10,8864,6454,552,2016,111,0,1
11,2560,4570,907,1453,44,1,0
14,5867,1515,988,2134,116,1,0
11,1211,574,472,1040,161,0,0
14,9121,2867,114,2776,129,0,1
7,1539,3544,99,628,43,1,0
6,9104,4477,884,118,96,1,0
13,643,71,437,2318,82,0,1
12,8693,2980,344,3467,123,1,0
14,8921,9309,348,3027,123,0,1
11,1283,5492,138,2903,26,0,1
13,7680,9551,827,162,47,1,0
8,7345,4759,323,2748,93,1,0
8,4386,9707,845,3176,6,0,1
5,919,8084,301,1677,154,1,0
12,2339,39,293,167,84,1,0
7,8947,9574,956,300,198,0,1
11,5930,5373,528,2076,111,1,0
6,5402,7565,833,3496,88,0,1
6,5663,1900,967,562,127,1,0
11,5275,2217,291,2931,17,0,1
10,507,4796,73,2204,32,1,0
7,1436,4606,774,1348,160,1,0
13,8750,1283,483,3420,95,1,0
14,7354,8775,15,1145,121,1,0
10,4516,8650,525,2700,24,1,0
14,3622,815,335,1552,141,1,0
14,4399,2511,792,2869,165,1,0
10,5037,246,872,561,165,1,0
5,8111,4825,515,1188,3,0,0
8,3715,6516,924,3134,107,1,0
14,7837,416,126,3412,189,1,0
10,1301,6702,823,1690,81,1,0
10,7370,3717,517,312,9,1,0
9,5185,107,128,2424,34,1,0
5,2155,9030,510,1370,98,0,1
12,6411,4513,422,2198,103,0,1
9,6365,1421,384,1912,22,1,0
9,692,7283,882,2633,64,1,0
11,1478,255,231,581,81,1,0
8,6396,7248,958,977,152,1,0
10,8448,9029,824,177,180,0,0
8,441,2962,194,2402,16,1,0
7,2646,2282,64,514,184,0,0
11,5209,8744,832,2357,147,1,0
12,6533,8372,614,119,127,0,1
8,4677,1477,276,1543,152,0,1
6,7211,8762,669,767,169,0,0
14,9927,4952,223,3044,172,1,0
7,2645,5880,800,973,30,1,0
5,8210,9919,943,916,64,1,0
12,9316,5592,277,2526,179,1,0
7,7933,7091,989,1438,79,1,0
14,5476,591,693,587,91,0,1
11,7928,6277,365,351,148,0,0
14,2080,2260,515,1530,29,0,1
9,6089,347,214,2243,122,1,0
14,7396,8357,438,3259,130,0,1
9,9739,5032,427,1474,69,1,0
11,7797,4443,728,496,170,0,1
13,861,8774,395,2563,28,1,0
9,8346,6869,208,2744,2,0,1
5,3494,5696,500,1871,185,1,0
14,904,3038,462,273,160,0,1
14,1269,2845,585,2928,74,0,1
5,404,7864,226,2100,44,0,1
6,9035,6609,374,263,68,1,0
10,9974,1265,499,3440,159,0,1
13,9756,2274,947,2181,110,0,0
12,1184,2470,92,3042,83,0,0
9,8938,2577,459,3297,51,1,0
5,1725,3660,576,2358,191,0,1
11,8462,1068,320,1597,115,1,0
9,5811,5591,9,2064,102,0,1
10,5606,5974,913,1765,167,0,0
11,3956,4829,302,195,140,1,0
7,171,1950,321,1787,79,1,0
14,8465,8283,816,1467,28,0,1
7,2306,3093,455,2351,190,1,0
9,9350,5311,277,1072,153,1,0
10,9898,1387,597,1771,101,1,0
13,9963,4274,537,1145,58,0,1
9,421,2285,729,1523,176,0,0
5,5540,3206,392,832,180,0,0
8,9401,2924,916,562,158,1,0
9,4675,7045,94,3541,11,1,0
14,9082,8471,755,41,185,1,0
14,6748,1618,958,1480,163,1,0
9,6103,8562,106,2582,9,0,1
11,1473,5896,389,371,133,1,0
8,3243,7843,759,1206,134,0,0
5,2181,9895,525,2565,30,1,0
9,9641,7063,672,657,90,0,0
11,3096,8495,70,590,199,0,0
14,6646,1348,663,231,2,1,0
14,9782,5556,968,809,103,1,0
10,5882,5289,586,1372,174,1,0
9,5982,2422,375,479,125,0,1
8,5798,3628,726,1233,0,1,0
6,9627,2428,367,2723,172,0,1
8,8415,3033,50,2326,181,1,0
14,8411,6157,897,1773,177,0,0
14,9846,8860,142,2101,134,1,0
7,8456,8691,418,1885,190,0,0
14,9145,7813,547,1034,14,0,1
5,4524,1414,499,1763,88,0,1
12,6559,6708,885,748,194,1,0
9,7620,8721,987,464,157,0,0
8,2774,6635,166,754,121,1,0
12,5673,3621,747,1841,115,0,1
11,3124,5315,259,583,195,1,0
6,8671,754,191,2206,35,1,0
5,1353,2347,201,19,66,0,1
8,9081,726,773,55,132,0,0
12,3854,4923,184,1751,24,1,0
6,8134,2649,157,721,10,0,1
7,924,2815,757,3093,199,1,0
5,2170,9066,621,3354,65,1,0
5,5506,3279,98,2809,155,1,0
7,2395,2984,240,1564,59,1,0
9,8220,3807,490,3067,137,1,0
7,8226,7876,201,3489,49,1,0
5,5515,6099,633,2856,166,1,0
5,2670,607,508,2771,164,1,0
12,3365,6169,628,2333,62,1,0
14,588,7790,95,3604,188,0,0
6,3138,5573,745,1556,91,1,0
7,9095,634,489,2559,37,1,0
6,6663,1074,578,3070,119,1,0
7,4086,1914,887,1420,32,0,1
11,8531,588,217,2168,74,0,1
5,4270,3231,526,2145,44,0,0
14,6019,6351,272,2168,171,0,0
12,9906,3838,218,1561,128,0,0
14,556,1973,785,1177,52,0,0
14,8022,5044,882,1269,174,1,0
14,5452,6103,658,1796,160,0,1
6,3567,6683,331,3588,66,0,0
7,3899,5837,855,2441,142,0,1
13,6477,9443,452,1167,104,0,0
11,7500,6783,151,3576,13,0,0
8,1016,5594,346,2842,150,1,0
14,6470,3822,815,1871,123,1,0
9,2062,3389,413,2268,181,0,0
6,9030,5914,526,2887,119,1,0
12,9829,1780,430,160,135,0,0
8,4321,3688,378,3148,181,1,0
13,3496,9916,997,2659,35,1,0
9,1813,7211,894,639,127,0,0
13,6256,5037,427,1056,179,0,1
8,9643,6319,865,2825,133,0,0
14,2313,9869,922,334,96,1,0
9,9706,8640,83,3597,155,1,0
13,1231,81,191,3512,177,0,1
12,9837,6278,40,892,165,0,0
7,5831,6999,863,2988,157,1,0
5,2999,1406,835,2017,80,0,0
7,3440,7410,772,352,72,1,0
8,4056,1480,308,1363,181,1,0
6,305,9271,377,926,70,0,0
5,9915,3598,135,1424,45,1,0
11,1689,7993,789,2444,155,1,0
12,9709,4183,105,3274,144,1,0
11,3917,3680,518,2578,175,1,0
9,7080,7644,917,3165,171,0,0
5,8611,4310,813,2406,59,1,0
11,2936,1758,541,1420,59,0,1
11,3862,2599,125,2876,4,1,0
13,9642,5616,356,60,196,0,1
7,5649,5813,399,2525,197,1,0
13,3261,3853,78,2660,134,1,0
5,9356,2292,388,1,180,0,1
5,1819,1501,578,1579,144,1,0
8,1342,8422,534,311,58,0,1
13,5560,7550,700,2216,8,1,0
10,2226,4250,73,2240,149,0,1
7,1079,9390,4,3106,44,0,1
5,4206,6991,918,3106,186,1,0
8,6280,114,462,3489,79,1,0
13,7235,9605,81,708,12,1,0
7,813,4406,536,1182,82,1,0
13,5089,9184,775,1781,11,1,0
11,2031,2347,990,1524,163,1,0
8,8514,1041,404,2414,9,1,0
7,9095,6927,513,1364,15,1,0
14,9733,11,277,858,91,1,0
9,5911,7980,839,3407,18,0,1
9,2653,7871,854,2375,103,0,1
7,3340,6375,223,2162,133,0,1
13,7876,7098,583,2845,131,1,0
8,1141,3676,67,919,157,0,0
9,9041,6109,319,3490,102,1,0
8,8558,5397,605,3540,94,1,0
9,2897,3065,18,3215,173,1,0
11,9281,2036,639,609,26,1,0
13,4041,3046,342,309,172,0,1
11,2038,540,593,2449,36,0,0
9,4270,76,765,1344,136,0,1
14,4683,3067,948,212,60,1,0
14,494,23,732,2365,34,1,0
11,7116,5134,342,185,105,0,1
14,1784,675,96,1229,46,1,0
9,3510,6668,51,1388,148,0,1
7,3786,4267,174,1240,144,0,0
11,5266,5988,337,246,54,0,1
6,9190,7652,693,239,87,1,0
13,5428,8680,939,1829,94,0,0
14,6681,1485,352,1415,5,1,0
14,6893,3659,390,520,120,0,0
5,9643,2419,114,1614,162,1,0
10,9943,7740,347,277,49,1,0
11,4658,7143,0,1006,164,0,1
12,7082,3495,62,2250,12,1,0
14,6869,756,759,214,24,1,0
13,7607,8448,742,606,122,1,0
6,7669,1779,225,478,128,0,1
14,6219,6487,422,508,48,1,0
6,4534,9664,18,1099,121,0,0
9,5979,258,30,2717,34,0,1
9,8890,4075,844,2713,82,1,0
10,1312,8498,632,1978,52,0,1
7,2962,8014,23,142,179,0,1
12,2938,1118,836,2370,181,0,0
5,3197,7631,982,1718,75,0,0
10,5296,3017,210,461,103,0,1
8,7204,4341,960,2755,46,1,0
5,5730,1658,160,670,42,1,0
11,126,8378,254,3218,147,0,1
13,5602,1797,570,2102,160,0,1
8,1191,9116,113,3428,92,1,0
8,2639,784,503,2325,143,1,0
10,1366,5691,928,1845,77,1,0
7,9211,3196,671,1619,6,0,1
10,6453,9552,954,400,69,0,1
11,6671,8532,219,668,148,1,0
14,6683,562,356,2564,35,0,1
14,4539,4746,168,1523,103,1,0
7,8876,2999,523,1335,53,1,0
11,2887,1193,968,1295,146,0,1
7,9654,68,241,2624,24,1,0
6,4086,5679,374,1473,66,1,0
14,2261,2428,138,2160,108,1,0
8,4180,6200,96,239,180,1,0
12,2841,5396,146,3216,47,1,0
13,9959,6993,181,3446,169,0,1
11,6040,3598,56,1044,174,1,0
5,3560,9035,41,3648,90,0,1
7,4758,573,865,1313,169,0,1
13,626,4214,710,1617,1,1,0
5,5014,7636,542,2245,133,1,0
13,1375,1478,691,2430,126,1,0
12,1181,9705,1,1722,45,0,1
5,5708,6127,978,1741,193,0,0
10,490,9160,933,1516,105,0,0
9,3729,6676,287,2212,39,1,0
10,5974,2196,137,2654,57,1,0
14,3534,9703,616,1273,77,1,0
9,3296,8166,511,3140,32,1,0
10,1940,8846,903,2903,61,1,0
9,5014,6050,729,1045,11,0,0
9,1882,4650,221,2879,125,0,0
8,4908,8484,330,1536,48,0,0
7,2987,4526,616,2645,87,1,0
7,5585,4412,403,3462,77,1,0
8,3159,5443,507,536,4,0,0
13,4530,9780,915,2159,178,1,0
6,681,8787,126,949,68,0,1
13,5254,2593,264,863,110,1,0
5,1073,9107,711,2643,159,1,0
5,2387,6852,763,1022,176,1,0
9,2693,6629,14,2508,59,1,0
10,9562,3869,225,3150,45,0,1
10,4340,7971,983,434,195,1,0
7,2156,9167,864,1404,168,0,1
11,7966,9267,104,3512,194,0,1
13,2580,7822,744,2936,12,0,0
14,7257,2989,492,783,107,0,0
12,2159,7062,318,3411,111,0,1
10,6772,5340,999,988,99,1,0
12,1627,9643,218,3496,145,0,0
9,8219,3823,276,169,112,0,1
12,7080,3932,772,709,96,0,0
14,1985,8554,892,965,50,0,1
8,9713,2429,930,3334,117,0,1
14,8488,7444,340,2775,35,1,0
12,2181,7147,451,1603,80,0,1
14,2296,7631,368,229,102,1,0
6,7164,3598,943,1185,33,0,0
9,2597,4329,847,427,139,1,0
13,901,6718,990,122,132,1,0
8,6060,9923,473,2197,47,1,0
10,9290,8218,189,2900,103,1,0
5,1677,92,883,2753,90,1,0
13,2881,8500,418,111,123,1,0
5,5622,51,709,1245,39,1,0
9,8052,318,864,1928,140,0,1
8,1378,5688,788,64,25,1,0
7,1248,7018,847,2686,141,0,1
10,5650,7210,494,1378,95,0,0
6,6079,3956,38,3546,138,0,1
7,9456,6057,161,909,165,1,0
9,7036,6875,120,1772,79,0,0
13,6487,4431,891,1509,56,1,0
6,1058,1525,398,13,149,1,0
14,2048,7043,261,2982,110,1,0
12,6115,1278,961,1177,143,0,1
6,4248,8705,727,239,75,0,0
9,2476,6125,823,3262,28,1,0
11,4603,7874,560,663,129,1,0
12,3553,9925,603,1110,181,1,0
5,9953,6900,128,3093,1,1,0
10,220,2500,832,694,2,0,1
5,4818,3464,539,3391,183,0,1
6,7192,2259,355,1182,71,0,0
5,4623,7496,659,3019,10,0,1
9,7349,2659,431,3012,159,0,1
14,5618,255,839,1505,3,1,0
13,9856,1502,64,1903,136,1,0
10,7209,4656,217,76,87,0,1
5,4576,5430,562,329,112,1,0
5,1871,8598,426,1440,183,0,1
6,7915,3176,816,3275,15,1,0
13,1462,1860,920,1253,85,1,0
7,5521,6158,73,2200,198,1,0
5,8536,5806,459,72,9,0,0
9,8236,4354,424,225,163,0,0
11,7813,722,710,2521,23,0,0
10,2068,7579,191,2408,63,1,0
5,5753,9474,188,2588,55,1,0
9,7237,613,11,811,88,1,0
9,7016,3331,238,2657,21,1,0
10,6191,5790,871,3118,179,1,0
7,1514,3116,592,2049,49,0,1
9,2598,9004,452,678,46,0,1
11,1001,9978,382,3317,22,1,0
9,1033,330,781,3291,82,0,1
9,6899,2212,801,291,18,1,0
9,8465,9408,47,1482,179,1,0
14,5051,5493,316,2252,161,0,1
14,9971,7232,208,1226,28,1,0
7,4476,5614,546,566,60,0,1
5,478,5913,118,2530,84,0,0
9,515,5913,576,1816,34,0,0
13,1191,5611,314,511,4,1,0
5,6297,9432,753,924,75,0,1
7,9603,319,35,2326,6,1,0
8,271,8085,462,3053,168,1,0
5,8334,4200,763,16,129,1,0
5,7778,4791,914,3597,137,1,0
12,6008,329,754,2404,101,1,0
6,7987,8851,553,356,43,1,0
12,3332,6742,580,830,69,1,0
11,787,4916,402,2647,90,1,0
14,6222,1793,106,1102,162,0,0
14,9873,6457,38,2976,61,0,1
6,622,8125,580,1091,19,1,0
10,3841,5703,179,2907,162,1,0
10,3676,6170,11,1747,164,0,0
7,2572,6644,338,214,71,0,1
6,6915,7420,942,1721,119,0,1
5,5033,4155,715,449,181,0,1
10,7788,8411,547,3013,94,0,1
9,5214,2611,125,3505,126,0,0
13,4712,5691,62,1569,112,1,0
5,66,2593,843,3187,106,0,0
11,7533,95,81,2835,79,0,0
9,4616,9180,818,3492,27,0,1
9,1140,9304,298,2547,197,0,1
6,5730,6041,33,710,159,1,0
7,7465,5063,751,380,138,1,0
11,9379,8437,608,3215,169,1,0
10,4471,3349,48,2788,150,1,0
6,3339,7644,657,2680,29,1,0
10,548,6560,636,1889,8,1,0
6,7675,5247,700,1048,58,1,0
6,8264,5356,56,539,155,1,0
6,198,4077,860,2993,78,0,1
7,9973,4898,108,3147,102,0,0
6,571,1417,516,753,113,1,0
8,790,8846,984,535,160,1,0
13,9830,110,23,673,46,1,0
10,1174,8281,220,1065,97,0,0
5,178,8954,959,568,149,1,0
12,2244,7391,314,1437,156,1,0
11,4086,5132,293,415,161,1,0
14,734,2504,928,449,41,1,0
7,6232,9656,9,610,179,0,0
5,798,8289,676,2706,46,1,0
9,7601,5239,480,2002,73,0,0
8,8979,292,726,1798,50,0,1
14,2795,1734,637,2484,172,1,0
12,4588,5120,266,3624,93,0,0
5,7297,6393,791,705,119,1,0
14,3084,2196,87,2287,74,0,0
5,731,3466,454,1066,161,1,0
8,1129,1906,625,734,148,0,1
12,1605,1721,532,800,122,0,1
9,2933,1816,147,2058,140,1,0
6,9407,8444,756,2795,181,0,1
10,8516,4227,777,1861,152,1,0
9,5074,5775,728,3337,121,1,0
6,7099,3849,430,3517,20,0,1
7,1490,5228,995,2187,0,1,0
13,893,6849,751,1891,185,1,0
11,1390,1058,942,731,68,1,0
11,3389,2322,910,196,85,1,0
10,4239,8378,939,1098,70,0,0
12,4479,948,743,1639,12,0,0
8,2263,8179,743,3297,179,0,0
12,3432,4359,241,1659,22,1,0
8,2371,5660,701,1126,148,0,0
12,4312,7254,901,264,5,0,0
13,1515,8401,740,2993,147,0,0
7,6326,2093,65,920,75,1,0
7,7088,1563,971,161,167,0,0
6,5586,8217,377,1257,8,1,0
14,2917,174,387,2539,177,0,0
7,5731,1334,790,1811,27,0,0
7,7686,321,780,770,138,1,0
9,1167,5698,208,311,115,0,0
9,8302,5604,414,227,95,1,0
6,5109,6742,15,273,74,1,0
